IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.243.183.127,2087,true,HKG,Asia Pacific,Hong Kong,59 ms,14511 kB/s
47.243.183.127,2053,true,HKG,Asia Pacific,Hong Kong,58 ms,13407 kB/s
8.210.34.188,2053,true,HKG,Asia Pacific,Hong Kong,68 ms,10964 kB/s
8.217.250.222,2053,true,HKG,Asia Pacific,Hong Kong,64 ms,10482 kB/s
47.237.94.140,2087,true,SIN,Asia Pacific,Singapore,223 ms,8629 kB/s
47.236.254.120,2096,true,SIN,Asia Pacific,Singapore,221 ms,8382 kB/s
47.237.92.26,8443,true,SIN,Asia Pacific,Singapore,229 ms,8321 kB/s
8.219.111.147,2053,true,SIN,Asia Pacific,Singapore,221 ms,7873 kB/s
47.236.165.25,2083,true,SIN,Asia Pacific,Singapore,222 ms,7850 kB/s
47.236.254.120,2053,true,SIN,Asia Pacific,Singapore,230 ms,7827 kB/s
47.236.144.208,2053,true,SIN,Asia Pacific,Singapore,233 ms,7412 kB/s
8.219.163.195,2083,true,SIN,Asia Pacific,Singapore,218 ms,7263 kB/s
47.236.174.206,2087,true,SIN,Asia Pacific,Singapore,236 ms,7242 kB/s
8.210.175.109,2053,true,HKG,Asia Pacific,Hong Kong,59 ms,7058 kB/s
47.236.205.188,2053,true,SIN,Asia Pacific,Singapore,232 ms,7048 kB/s
47.236.172.95,2083,true,SIN,Asia Pacific,Singapore,226 ms,7045 kB/s
8.219.163.195,2087,true,SIN,Asia Pacific,Singapore,228 ms,7010 kB/s
8.219.117.198,2053,true,SIN,Asia Pacific,Singapore,233 ms,7008 kB/s
47.236.144.156,8443,true,SIN,Asia Pacific,Singapore,217 ms,6975 kB/s
8.219.83.71,2096,true,SIN,Asia Pacific,Singapore,242 ms,6921 kB/s
8.219.11.158,2053,true,SIN,Asia Pacific,Singapore,239 ms,6879 kB/s
47.236.169.164,2083,true,SIN,Asia Pacific,Singapore,236 ms,6857 kB/s
47.236.75.113,2083,true,SIN,Asia Pacific,Singapore,223 ms,6794 kB/s
8.219.98.13,8443,true,SIN,Asia Pacific,Singapore,234 ms,6770 kB/s
47.236.144.196,8443,true,SIN,Asia Pacific,Singapore,228 ms,6767 kB/s
8.219.120.87,2087,true,SIN,Asia Pacific,Singapore,228 ms,6764 kB/s
47.236.169.141,2083,true,SIN,Asia Pacific,Singapore,258 ms,6752 kB/s
8.219.111.147,2087,true,SIN,Asia Pacific,Singapore,219 ms,6747 kB/s
8.222.165.117,8443,true,SIN,Asia Pacific,Singapore,239 ms,6722 kB/s
8.219.132.64,2053,true,SIN,Asia Pacific,Singapore,218 ms,6719 kB/s
47.236.167.231,2096,true,SIN,Asia Pacific,Singapore,228 ms,6709 kB/s
8.219.97.50,2096,true,SIN,Asia Pacific,Singapore,219 ms,6701 kB/s
8.222.167.147,2096,true,SIN,Asia Pacific,Singapore,230 ms,6687 kB/s
8.219.98.13,2087,true,SIN,Asia Pacific,Singapore,225 ms,6613 kB/s
47.236.104.11,2083,true,SIN,Asia Pacific,Singapore,247 ms,6604 kB/s
8.219.132.64,2096,true,SIN,Asia Pacific,Singapore,222 ms,6598 kB/s
8.222.183.242,2087,true,SIN,Asia Pacific,Singapore,223 ms,6596 kB/s
47.236.172.95,2053,true,SIN,Asia Pacific,Singapore,231 ms,6537 kB/s
8.219.117.198,2096,true,SIN,Asia Pacific,Singapore,242 ms,6533 kB/s
8.219.120.87,2096,true,SIN,Asia Pacific,Singapore,226 ms,6519 kB/s
47.237.8.82,2087,true,SIN,Asia Pacific,Singapore,232 ms,6516 kB/s
8.222.183.242,2083,true,SIN,Asia Pacific,Singapore,230 ms,6510 kB/s
47.236.9.152,2096,true,SIN,Asia Pacific,Singapore,231 ms,6504 kB/s
8.219.117.198,2087,true,SIN,Asia Pacific,Singapore,231 ms,6497 kB/s
47.236.172.95,8443,true,SIN,Asia Pacific,Singapore,248 ms,6429 kB/s
47.236.5.223,2087,true,SIN,Asia Pacific,Singapore,230 ms,6424 kB/s
8.222.191.138,2083,true,SIN,Asia Pacific,Singapore,231 ms,6418 kB/s
47.236.168.17,2083,true,SIN,Asia Pacific,Singapore,228 ms,6344 kB/s
8.222.165.117,2053,true,SIN,Asia Pacific,Singapore,222 ms,6315 kB/s
47.236.9.152,2083,true,SIN,Asia Pacific,Singapore,237 ms,6308 kB/s
47.237.10.1,2053,true,SIN,Asia Pacific,Singapore,238 ms,6278 kB/s
47.236.205.188,8443,true,SIN,Asia Pacific,Singapore,230 ms,6274 kB/s
8.219.132.64,8443,true,SIN,Asia Pacific,Singapore,236 ms,6260 kB/s
8.219.209.14,2083,true,SIN,Asia Pacific,Singapore,231 ms,6253 kB/s
8.222.165.117,2087,true,SIN,Asia Pacific,Singapore,242 ms,6239 kB/s
47.236.118.216,8443,true,SIN,Asia Pacific,Singapore,244 ms,6226 kB/s
47.236.145.85,8443,true,SIN,Asia Pacific,Singapore,249 ms,6207 kB/s
8.219.120.87,2053,true,SIN,Asia Pacific,Singapore,224 ms,6203 kB/s
47.237.95.146,2087,true,SIN,Asia Pacific,Singapore,234 ms,6198 kB/s
8.219.83.71,2087,true,SIN,Asia Pacific,Singapore,228 ms,6190 kB/s
8.222.162.45,2083,true,SIN,Asia Pacific,Singapore,226 ms,6133 kB/s
8.219.97.50,2053,true,SIN,Asia Pacific,Singapore,227 ms,6086 kB/s
8.210.175.109,2083,true,HKG,Asia Pacific,Hong Kong,55 ms,6070 kB/s
47.236.167.231,2053,true,SIN,Asia Pacific,Singapore,221 ms,6069 kB/s
47.236.121.23,2053,true,SIN,Asia Pacific,Singapore,235 ms,6067 kB/s
47.236.169.15,2053,true,SIN,Asia Pacific,Singapore,239 ms,6059 kB/s
47.236.83.239,2053,true,SIN,Asia Pacific,Singapore,240 ms,6031 kB/s
47.236.158.158,2083,true,SIN,Asia Pacific,Singapore,219 ms,5970 kB/s
47.236.174.206,8443,true,SIN,Asia Pacific,Singapore,230 ms,5940 kB/s
47.236.10.182,2083,true,SIN,Asia Pacific,Singapore,259 ms,5923 kB/s
47.237.8.82,8443,true,SIN,Asia Pacific,Singapore,227 ms,5919 kB/s
47.237.100.206,2087,true,SIN,Asia Pacific,Singapore,230 ms,5912 kB/s
47.236.237.90,2053,true,SIN,Asia Pacific,Singapore,222 ms,5910 kB/s
47.236.97.90,8443,true,SIN,Asia Pacific,Singapore,239 ms,5900 kB/s
47.236.83.239,2087,true,SIN,Asia Pacific,Singapore,229 ms,5890 kB/s
8.219.209.14,2087,true,SIN,Asia Pacific,Singapore,225 ms,5887 kB/s
47.237.95.146,8443,true,SIN,Asia Pacific,Singapore,228 ms,5879 kB/s
47.237.0.31,2096,true,SIN,Asia Pacific,Singapore,225 ms,5862 kB/s
8.219.163.195,2053,true,SIN,Asia Pacific,Singapore,232 ms,5850 kB/s
47.236.10.100,2087,true,SIN,Asia Pacific,Singapore,243 ms,5849 kB/s
47.237.82.15,2087,true,SIN,Asia Pacific,Singapore,219 ms,5848 kB/s
47.237.82.15,2096,true,SIN,Asia Pacific,Singapore,247 ms,5838 kB/s
47.236.169.164,8443,true,SIN,Asia Pacific,Singapore,238 ms,5828 kB/s
47.236.167.231,2087,true,SIN,Asia Pacific,Singapore,232 ms,5815 kB/s
47.236.166.131,2083,true,SIN,Asia Pacific,Singapore,228 ms,5809 kB/s
47.236.166.131,2053,true,SIN,Asia Pacific,Singapore,236 ms,5807 kB/s
47.236.254.120,8443,true,SIN,Asia Pacific,Singapore,234 ms,5792 kB/s
47.236.172.95,2096,true,SIN,Asia Pacific,Singapore,235 ms,5759 kB/s
8.222.167.147,8443,true,SIN,Asia Pacific,Singapore,239 ms,5751 kB/s
47.237.8.82,2083,true,SIN,Asia Pacific,Singapore,237 ms,5743 kB/s
47.237.94.140,2083,true,SIN,Asia Pacific,Singapore,218 ms,5739 kB/s
47.236.169.141,2087,true,SIN,Asia Pacific,Singapore,240 ms,5707 kB/s
47.236.174.206,2083,true,SIN,Asia Pacific,Singapore,239 ms,5684 kB/s
8.222.162.45,2087,true,SIN,Asia Pacific,Singapore,247 ms,5655 kB/s
47.236.97.90,2053,true,SIN,Asia Pacific,Singapore,227 ms,5633 kB/s
8.219.11.158,2096,true,SIN,Asia Pacific,Singapore,224 ms,5617 kB/s
47.236.169.164,2087,true,SIN,Asia Pacific,Singapore,221 ms,5606 kB/s
47.237.95.140,8443,true,SIN,Asia Pacific,Singapore,243 ms,5594 kB/s
47.236.146.249,8443,true,SIN,Asia Pacific,Singapore,238 ms,5589 kB/s
8.222.183.242,8443,true,SIN,Asia Pacific,Singapore,261 ms,5585 kB/s
47.236.202.91,8443,true,SIN,Asia Pacific,Singapore,238 ms,5585 kB/s
47.236.93.176,2083,true,SIN,Asia Pacific,Singapore,229 ms,5555 kB/s
47.236.169.15,2083,true,SIN,Asia Pacific,Singapore,225 ms,5551 kB/s
47.236.93.176,2096,true,SIN,Asia Pacific,Singapore,227 ms,5550 kB/s
47.236.149.107,2053,true,SIN,Asia Pacific,Singapore,233 ms,5533 kB/s
47.237.11.182,2083,true,SIN,Asia Pacific,Singapore,226 ms,5518 kB/s
47.237.95.140,2096,true,SIN,Asia Pacific,Singapore,227 ms,5506 kB/s
47.236.158.158,2096,true,SIN,Asia Pacific,Singapore,218 ms,5506 kB/s
47.237.0.31,2083,true,SIN,Asia Pacific,Singapore,231 ms,5489 kB/s
47.237.95.13,8443,true,SIN,Asia Pacific,Singapore,235 ms,5483 kB/s
8.219.117.198,8443,true,SIN,Asia Pacific,Singapore,237 ms,5468 kB/s
47.236.17.193,8443,true,SIN,Asia Pacific,Singapore,222 ms,5468 kB/s
47.237.86.185,8443,true,SIN,Asia Pacific,Singapore,239 ms,5465 kB/s
47.237.83.20,2083,true,SIN,Asia Pacific,Singapore,230 ms,5437 kB/s
47.236.169.15,2087,true,SIN,Asia Pacific,Singapore,222 ms,5433 kB/s
47.237.95.146,2096,true,SIN,Asia Pacific,Singapore,222 ms,5426 kB/s
47.236.166.131,2087,true,SIN,Asia Pacific,Singapore,221 ms,5425 kB/s
8.222.165.117,2096,true,SIN,Asia Pacific,Singapore,227 ms,5410 kB/s
47.237.95.140,2083,true,SIN,Asia Pacific,Singapore,225 ms,5409 kB/s
8.219.97.50,2083,true,SIN,Asia Pacific,Singapore,219 ms,5399 kB/s
47.236.254.120,2083,true,SIN,Asia Pacific,Singapore,236 ms,5355 kB/s
47.237.81.112,8443,true,SIN,Asia Pacific,Singapore,226 ms,5353 kB/s
47.237.95.13,2087,true,SIN,Asia Pacific,Singapore,231 ms,5324 kB/s
